channel_handle,channel_name,channel_url,grade,analyzed,video_count,midform_ratio,shortform_ratio,longform_ratio,median_views,videos_analyzed,last_scanned_at,status,notes,priority
@JeannieGibson-i2n,MovieNestTV,https://www.youtube.com/@JeannieGibson-i2n/videos,미분석,no,6,0,0,0,0,0,,unused,,
@nolan7c2,nolan7c2,https://www.youtube.com/@nolan7c2/videos,미분석,no,6,0,0,0,0,0,,unused,,
@BeastsakuraGamerz,Beast sakura Gamerz,https://www.youtube.com/@BeastsakuraGamerz/videos,미분석,no,4,0,0,0,0,0,,unused,,
@MotionRiot-y9w,Motion Riot,https://www.youtube.com/@MotionRiot-y9w/videos,미분석,no,1,0,0,0,0,0,,unused,,
@Storyreel-d5j,Storyreel,https://www.youtube.com/@Storyreel-d5j/videos,미분석,no,2,0,0,0,0,0,,unused,,
@NocturneRift,NocturneRift,https://www.youtube.com/@NocturneRift/videos,미분석,no,1,0,0,0,0,0,,unused,,
@VdhxKwkhx,Vdhx Kwkhx,https://www.youtube.com/@VdhxKwkhx/videos,미분석,no,1,0,0,0,0,0,,unused,,
@ReelMixer-z9g,Reel Mixer,https://www.youtube.com/@ReelMixer-z9g/videos,미분석,no,1,0,0,0,0,0,,unused,,
@ClipVerseRookie,The Rookie (Fan Page),https://www.youtube.com/@ClipVerseRookie/videos,미분석,no,18,0,0,0,0,0,,unused,,
@Movieverse-e6y,Movie verse,https://www.youtube.com/@Movieverse-e6y/videos,미분석,no,2,0,0,0,0,0,,unused,,
@EtherCircuit-o6m,EtherCircuit,https://www.youtube.com/@EtherCircuit-o6m/videos,미분석,no,1,0,0,0,0,0,,unused,,
@ShortCuts-z2y,ShortCuts,https://www.youtube.com/@ShortCuts-z2y/videos,미분석,no,8,0,0,0,0,0,,unused,,
@FRITZSAVANNA,FRITZ SAVANNA,https://www.youtube.com/@FRITZSAVANNA/videos,미분석,no,2,0,0,0,0,0,,unused,,
@peterpan2461,Peter Panat,https://www.youtube.com/@peterpan2461/videos,미분석,no,4,0,0,0,0,0,,unused,,
@Lovetosee-f3y,Love to see,https://www.youtube.com/@Lovetosee-f3y/videos,미분석,no,1,0,0,0,0,0,,unused,,
@ScottieCummings,Scottie Cummings,https://www.youtube.com/@ScottieCummings/videos,미분석,no,1,0,0,0,0,0,,unused,,
@AndrewBull-h6y,Editchanber,https://www.youtube.com/@AndrewBull-h6y/videos,미분석,no,2,0,0,0,0,0,,unused,,
@DriftScene-u8m,Drift Scene,https://www.youtube.com/@DriftScene-u8m/videos,미분석,no,6,0,0,0,0,0,,unused,,
@KathleenBrown-m1i,Shadow Line,https://www.youtube.com/@KathleenBrown-m1i/videos,미분석,no,1,0,0,0,0,0,,unused,,
@AdibaKharyn,Adiba Kharyn,https://www.youtube.com/@AdibaKharyn/videos,미분석,no,1,0,0,0,0,0,,unused,,
@CutQueen-v5n,ClipChic,https://www.youtube.com/@CutQueen-v5n/videos,미분석,no,1,0,0,0,0,0,,unused,,
@GerMaTrix07,GerMaTrix07,https://www.youtube.com/@GerMaTrix07/videos,미분석,no,1,0,0,0,0,0,,unused,,
@VisionReels-c4s,VisionReels,https://www.youtube.com/@VisionReels-c4s/videos,미분석,no,1,0,0,0,0,0,,unused,,
@TuneStone-k3g,Bruno Carlz,https://www.youtube.com/@TuneStone-k3g/videos,미분석,no,3,0,0,0,0,0,,unused,,
@Gggi-n2o,Gggi,https://www.youtube.com/@Gggi-n2o/videos,미분석,no,1,0,0,0,0,0,,unused,,
@SonicSun-f1t,Barny Salvador,https://www.youtube.com/@SonicSun-f1t/videos,미분석,no,2,0,0,0,0,0,,unused,,
@TheHorrorGarden,The Horror Garden,https://www.youtube.com/@TheHorrorGarden/videos,미분석,no,6,0,0,0,0,0,,unused,,
@august9c2,august9c2,https://www.youtube.com/@august9c2/videos,미분석,no,1,0,0,0,0,0,,unused,,
@TheNarrativeArc-4,The Narrative Arc,https://www.youtube.com/@TheNarrativeArc-4/videos,미분석,no,1,0,0,0,0,0,,unused,,
@ThaiAnThai-y3s,ThaiAn,https://www.youtube.com/@ThaiAnThai-y3s/videos,미분석,no,1,0,0,0,0,0,,unused,,
@thorntonkay,koenkoencut,https://www.youtube.com/@thorntonkay/videos,미분석,no,8,0,0,0,0,0,,unused,,
@CuongNguyen-gf4vi,Koi,https://www.youtube.com/@CuongNguyen-gf4vi/videos,미분석,no,2,0,0,0,0,0,,unused,,
@Aetherix-q1o,Aetherix,https://www.youtube.com/@Aetherix-q1o/videos,X,yes,3,0,0,1,715,11,2026-06-29,unused,,low
@BetsyLuckey,Light Fade,https://www.youtube.com/@BetsyLuckey/videos,미분석,no,3,0,0,0,0,0,,unused,,
@ShiftVision-g7o,Shift Vision,https://www.youtube.com/@ShiftVision-g7o/videos,미분석,no,2,0,0,0,0,0,,unused,,
@CrypticFrames-c6p,CrypticFrames,https://www.youtube.com/@CrypticFrames-c6p/videos,미분석,no,3,0,0,0,0,0,,unused,,
@AmandaPlowman,Mute Tempo,https://www.youtube.com/@AmandaPlowman/videos,미분석,no,7,0,0,0,0,0,,unused,,
@TrendReel-p7k,TrendReel,https://www.youtube.com/@TrendReel-p7k/videos,미분석,no,1,0,0,0,0,0,,unused,,
@MrJohn725,MrJohn725,https://www.youtube.com/@MrJohn725/videos,미분석,no,1,0,0,0,0,0,,unused,,
@SilentReflection-h1k,SilentReflection,https://www.youtube.com/@SilentReflection-h1k/videos,미분석,no,2,0,0,0,0,0,,unused,,
@Maven-Edits,Maven-Edits,https://www.youtube.com/@Maven-Edits/videos,A,yes,1,0.6857,0.2857,0.0286,19343,35,2026-07-06,unused,,high
@CaroleBrowning,Story Cut,https://www.youtube.com/@CaroleBrowning/videos,미분석,no,1,0,0,0,0,0,,unused,,
@kimiu663,kimiu663,https://www.youtube.com/@kimiu663/videos,미분석,no,3,0,0,0,0,0,,unused,,
@CJ-112-w9r,CJ,https://www.youtube.com/@CJ-112-w9r/videos,미분석,no,1,0,0,0,0,0,,unused,,
@Hollywoodenglishmovie24,Hollywood English Movie,https://www.youtube.com/@Hollywoodenglishmovie24/videos,미분석,no,2,0,0,0,0,0,,unused,,
@cinemarecapsai,CinemaRecapsAi,https://www.youtube.com/@cinemarecapsai/videos,미분석,no,1,0,0,0,0,0,,unused,,
@MotionRay-h9p,Motion Ray,https://www.youtube.com/@MotionRay-h9p/videos,미분석,no,2,0,0,0,0,0,,unused,,
@Jackeulalie,Jack eulalie,https://www.youtube.com/@Jackeulalie/videos,미분석,no,1,0,0,0,0,0,,unused,,
@OsorioBaidek,Osorio Baidek,https://www.youtube.com/@OsorioBaidek/videos,미분석,no,3,0,0,0,0,0,,unused,,
@EditAetheris,Edit Aetheris,https://www.youtube.com/@EditAetheris/videos,미분석,no,3,0,0,0,0,0,,unused,,
@ReelGlimpse-b1z,Reel Glimpse,https://www.youtube.com/@ReelGlimpse-b1z/videos,미분석,no,1,0,0,0,0,0,,unused,,
@EdiraX-d6b,EdiraX,https://www.youtube.com/@EdiraX-d6b/videos,미분석,no,2,0,0,0,0,0,,unused,,
@StephanieCraig-q9c,ReelRealm,https://www.youtube.com/@StephanieCraig-q9c/videos,미분석,no,4,0,0,0,0,0,,unused,,
@YanaAdaeishvili,Yana Adaeishvili,https://www.youtube.com/@YanaAdaeishvili/videos,미분석,no,2,0,0,0,0,0,,unused,,
@KariGeary,CineLoom,https://www.youtube.com/@KariGeary/videos,미분석,no,4,0,0,0,0,0,,unused,,
@MahliMarbleRun,Mahli Marble Run,https://www.youtube.com/@MahliMarbleRun/videos,미분석,no,2,0,0,0,0,0,,unused,,
@movietravelreal,Movie Travel,https://www.youtube.com/@movietravelreal/videos,미분석,no,1,0,0,0,0,0,,unused,,
@Quillon-592,Quillon,https://www.youtube.com/@Quillon-592/videos,미분석,no,3,0,0,0,0,0,,unused,,
@9-1-1house,9-1-1 house,https://www.youtube.com/@9-1-1house/videos,미분석,no,3,0,0,0,0,0,,unused,,
@VynexEdits,V9X EDITS,https://www.youtube.com/@VynexEdits/videos,B,yes,1,0.8333,0.3333,0,1578,12,2026-06-01,unused,,medium
@EditCrash-r1v,EditCrash,https://www.youtube.com/@EditCrash-r1v/videos,미분석,no,1,0,0,0,0,0,,unused,,
@EchoLovers,EchoLovers,https://www.youtube.com/@EchoLovers/videos,미분석,no,1,0,0,0,0,0,,unused,,
@CineRealm-z8t,CineRealm,https://www.youtube.com/@CineRealm-z8t/videos,미분석,no,3,0,0,0,0,0,,unused,,
@EmptyLight-i2j,EmptyLight,https://www.youtube.com/@EmptyLight-i2j/videos,미분석,no,3,0,0,0,0,0,,unused,,
@FramioLab,FramioLab,https://www.youtube.com/@FramioLab/videos,미분석,no,1,0,0,0,0,0,,unused,,
@AghmnGhokmn,Aghmn Ghokmn,https://www.youtube.com/@AghmnGhokmn/videos,미분석,no,1,0,0,0,0,0,,unused,,
@RykerHinton-o6n,Ryker Hinton,https://www.youtube.com/@RykerHinton-o6n/videos,미분석,no,7,0,0,0,0,0,,unused,,
@SceneSting,SceneSting,https://www.youtube.com/@SceneSting/videos,미분석,no,1,0,0,0,0,0,,unused,,
@movieprisonn,Movieprison,https://www.youtube.com/@movieprisonn/videos,미분석,no,1,0,0,0,0,0,,unused,,
@kimdam7331,poison,https://www.youtube.com/@kimdam7331/videos,미분석,no,2,0,0,0,0,0,,unused,,
@TanjiOlortegui,Tanji Olortegui,https://www.youtube.com/@TanjiOlortegui/videos,미분석,no,2,0,0,0,0,0,,unused,,
@thanhtruongvan5893,Serein,https://www.youtube.com/@thanhtruongvan5893/videos,미분석,no,2,0,0,0,0,0,,unused,,
@HopeMovie-d9e,Hope Movie,https://www.youtube.com/@HopeMovie-d9e/videos,미분석,no,1,0,0,0,0,0,,unused,,
@ArielKomorowski,Ariel Komorowski,https://www.youtube.com/@ArielKomorowski/videos,미분석,no,10,0,0,0,0,0,,unused,,
